,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.984875e+01,3.987214e+01,3.988383e+01,3.988383e+01,3.988383e+01,3.984875e+01,3.983706e+01,3.982536e+01,3.980197e+01,3.982536e+01,3.983706e+01,3.986045e+01,3.987214e+01,3.986045e+01,3.986045e+01,3.984875e+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.979027e+01,3.977857e+01,3.974346e+01,3.980197e+01,3.986045e+01,3.987214e+01,3.989552e+01,3.990721e+01,3.987214e+01,3.983706e+01,3.983706e+01,3.981367e+01,3.982536e+01,3.986045e+01,3.987214e+01,3.987214e+01,3.986045e+01,3.984875e+01,3.984875e+01,3.983706e+01,3.980197e+01,3.977857e+01,3.979027e+01,3.979027e+01,3.980197e+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.986045e+01,3.989552e+01,3.982536e+01,3.977857e+01,3.979027e+01,3.974346e+01,3.969662e+01,3.980197e+01,3.984875e+01,3.987214e+01,3.989552e+01,3.987214e+01,3.983706e+01,3.984875e+01,3.986045e+01,3.980197e+01,3.982536e+01,3.987214e+01,3.987214e+01,3.986045e+01,3.986045e+01,3.986045e+01,3.984875e+01,3.984875e+01,3.981367e+01,3.980197e+01,3.980197e+01,3.979027e+01,3.980197e+01,3.984875e+01,3.988383e+01,3.986045e+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.983706e+01,3.983706e+01,3.986045e+01,3.987214e+01,3.980197e+01,3.980197e+01,3.979027e+01,3.980197e+01,3.980197e+01,3.979027e+01,3.981367e+01,3.984875e+01,3.983706e+01,3.988383e+01,3.989552e+01,3.984875e+01,3.984875e+01,3.984875e+01,3.981367e+01,3.982536e+01,3.984875e+01,3.986045e+01,3.986045e+01,3.986045e+01,3.986045e+01,3.981367e+01,3.981367e+01,3.981367e+01,3.979027e+01,3.979027e+01,3.980197e+01,3.982536e+01,3.983706e+01,3.983706e+01,3.982536e+01,3.984875e+01,3.984875e+01,3.983706e+01,3.984875e+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,3.983706e+01,3.981367e+01,3.984875e+01,3.983706e+01,3.984875e+01,3.991890e+01,3.983706e+01,3.982536e+01,3.982536e+01,3.984875e+01,3.984875e+01,3.982536e+01,3.982536e+01,3.982536e+01,3.984875e+01,3.986045e+01,3.984875e+01,3.983706e+01,3.982536e+01,3.986045e+01,3.987214e+01,3.984875e+01,3.982536e+01,3.981367e+01,3.983706e+01,3.983706e+01,3.982536e+01,3.980197e+01,3.981367e+01,3.980197e+01,3.977857e+01,3.979027e+01,3.983706e+01,3.986045e+01,3.982536e+01,3.981367e+01,3.979027e+01,3.982536e+01,3.984875e+01,3.984875e+01,3.986045e+01,3.987214e+01,3.988383e+01,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3.986045e+01,3.977857e+01,3.983706e+01,3.982536e+01,3.986045e+01,3.987214e+01,3.984875e+01,3.984875e+01,3.983706e+01,3.983706e+01,3.983706e+01,3.982536e+01,3.986045e+01,3.984875e+01,3.982536e+01,3.982536e+01,3.981367e+01,3.981367e+01,3.982536e+01,3.984875e+01,3.983706e+01,3.986045e+01,3.990721e+01,3.990721e+01,3.984875e+01,3.982536e+01,3.981367e+01,3.979027e+01,3.981367e+01,3.983706e+01,3.982536e+01,3.981367e+01,3.980197e+01,3.983706e+01,3.990721e+01,3.989552e+01,3.986045e+01,3.984875e+01,3.982536e+01,3.982536e+01,3.983706e+01,3.986045e+01,3.984875e+01,3.984875e+01,3.986045e+01,3.982536e+01,3.980197e+01,3.988383e+01,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,3.981367e+01,3.981367e+01,3.977857e+01,3.983706e+01,3.987214e+01,3.986045e+01,3.987214e+01,3.984875e+01,3.984875e+01,3.982536e+01,3.984875e+01,3.987214e+01,3.987214e+01,3.987214e+01,3.983706e+01,3.983706e+01,3.983706e+01,3.982536e+01,3.982536e+01,3.981367e+01,3.984875e+01,3.988383e+01,3.993058e+01,3.994227e+01,3.991890e+01,3.991890e+01,3.988383e+01,3.983706e+01,3.984875e+01,3.983706e+01,3.981367e+01,3.982536e+01,3.986045e+01,3.983706e+01,3.982536e+01,3.984875e+01,3.988383e+01,3.989552e+01,3.986045e+01,3.983706e+01,3.983706e+01,3.981367e+01,3.982536e+01,3.982536e+01,3.981367e+01,3.986045e+01,3.986045e+01,3.983706e+01,3.982536e+01,3.982536e+01,3.984875e+01,3.984875e+01,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3.984875e+01,3.981367e+01,3.983706e+01,3.980197e+01,3.983706e+01,3.986045e+01,3.989552e+01,3.987214e+01,3.984875e+01,3.983706e+01,3.988383e+01,3.982536e+01,3.986045e+01,3.984875e+01,3.982536e+01,3.983706e+01,3.982536e+01,3.984875e+01,3.982536e+01,3.980197e+01,3.981367e+01,3.982536e+01,3.986045e+01,3.986045e+01,3.991890e+01,3.991890e+01,3.983706e+01,3.984875e+01,3.990721e+01,3.984875e+01,3.982536e+01,3.979027e+01,3.977857e+01,3.983706e+01,3.984875e+01,3.982536e+01,3.982536e+01,3.981367e+01,3.983706e+01,3.988383e+01,3.989552e+01,3.988383e+01,3.984875e+01,3.982536e+01,3.982536e+01,3.981367e+01,3.981367e+01,3.986045e+01,3.986045e+01,3.984875e+01,3.982536e+01,3.982536e+01,3.984875e+01,3.988383e+01,3.982536e+01,3.981367e+01,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,3.991890e+01,3.986045e+01,3.982536e+01,3.984875e+01,3.983706e+01,3.983706e+01,3.983706e+01,3.988383e+01,3.984875e+01,3.984875e+01,3.989552e+01,4.000068e+01,3.983706e+01,3.988383e+01,3.984875e+01,3.986045e+01,3.980197e+01,3.983706e+01,3.982536e+01,3.982536e+01,3.981367e+01,3.981367e+01,3.984875e+01,3.986045e+01,3.988383e+01,3.986045e+01,3.987214e+01,3.986045e+01,3.982536e+01,3.979027e+01,3.983706e+01,3.987214e+01,3.981367e+01,3.980197e+01,3.987214e+01,3.987214e+01,3.984875e+01,3.983706e+01,3.983706e+01,3.981367e+01,3.981367e+01,3.984875e+01,3.986045e+01,3.983706e+01,3.982536e+01,3.984875e+01,3.984875e+01,3.982536e+01,3.981367e+01,3.982536e+01,3.980197e+01,3.980197e+01,3.986045e+01,3.986045e+01,3.987214e+01,3.986045e+01,3.986045e+01,3.981367e+01,3.979027e+01,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3.986045e+01,3.981367e+01,3.984875e+01,3.983706e+01,3.983706e+01,3.984875e+01,3.984875e+01,3.982536e+01,3.984875e+01,3.986045e+01,3.987214e+01,3.987214e+01,3.989552e+01,3.983706e+01,3.988383e+01,3.982536e+01,3.979027e+01,3.980197e+01,3.986045e+01,3.986045e+01,3.984875e+01,3.983706e+01,3.987214e+01,3.987214e+01,3.987214e+01,3.987214e+01,3.987214e+01,3.981367e+01,3.982536e+01,3.979027e+01,3.980197e+01,3.983706e+01,3.989552e+01,3.990721e+01,3.993058e+01,3.994227e+01,3.993058e+01,3.988383e+01,3.983706e+01,3.981367e+01,3.982536e+01,3.983706e+01,3.983706e+01,3.986045e+01,3.983706e+01,3.982536e+01,3.983706e+01,3.980197e+01,3.981367e+01,3.984875e+01,3.982536e+01,3.983706e+01,3.982536e+01,3.982536e+01,3.987214e+01,3.983706e+01,3.983706e+01,3.976686e+01,3.977857e+01,3.980197e+01,3.980197e+01,,,,,,,,,,,,,,,,,
